,Transaction_ID,Customer_ID,Amount,Date,Status,Month,Year,Anomaly_Score,Anomaly_Label,Risk_Flag,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Payment_Method_Wallet,Next_Month_Risk_Prediction
0,T100000,C1861,6779.99,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
1,T100001,C4773,7357.34,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
2,T100002,C4093,3461.92,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
3,T100003,C1467,1820.76,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
4,T100004,C5427,18199.03,2026-03-04 06:12:48,Completed,3,2026,-1,Suspicious,0,False,True,False,False,0
5,T100005,C4445,5443.74,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,True,0
6,T100006,C4172,2623.25,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
7,T100007,C3920,1645.74,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
8,T100008,C1131,6567.13,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
9,T100009,C2686,1386.57,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
10,T100010,C1770,941.96,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
11,T100011,C3392,3773.35,2026-03-04 06:12:48,Suspicious,3,2026,1,Normal,1,False,False,False,False,0
12,T100012,C3434,1712.36,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
13,T100013,C2185,4956.49,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
14,T100014,C5556,627.47,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
15,T100015,C4386,5320.2,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
16,T100016,C5118,1665.47,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
17,T100017,C5844,1.21,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
18,T100018,C3905,678.73,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
19,T100019,C1475,13561.45,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
20,T100020,C2083,10100.38,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
21,T100021,C3559,1330.31,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
22,T100022,C3048,7533.77,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
23,T100023,C3748,4689.76,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
24,T100024,C1976,17685.9,2026-03-04 06:12:48,Completed,3,2026,-1,Suspicious,0,False,False,False,False,0
25,T100025,C2807,2338.88,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,True,0
26,T100026,C1190,5720.05,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
27,T100027,C3735,328.22,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,True,0
28,T100028,C4006,2522.95,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
29,T100029,C5659,16595.92,2026-03-04 06:12:48,Completed,3,2026,-1,Suspicious,0,False,False,False,True,0
30,T100030,C2900,3871.58,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
31,T100031,C2268,1697.54,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
32,T100032,C2529,640.71,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
33,T100033,C4203,6079.02,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
34,T100034,C4557,5176.16,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
35,T100035,C4891,2341.54,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
36,T100036,C1647,15073.69,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
37,T100037,C3889,112.27,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
38,T100038,C3436,1810.04,2026-03-04 06:12:48,Suspicious,3,2026,1,Normal,1,False,False,False,True,0
39,T100039,C1601,12695.94,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,True,0
40,T100040,C3364,1935.2,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
41,T100041,C3062,1453.45,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
42,T100042,C1242,3820.21,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
43,T100043,C3042,8680.73,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
44,T100044,C3825,544.32,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,True,0
45,T100045,C3613,14325.34,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
46,T100046,C2364,7925.5,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,False,0
47,T100047,C2479,999.88,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
48,T100048,C3557,6224.11,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
49,T100049,C1776,2430.33,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,True,False,False,False,0
50,T100050,C5015,2573.29,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,False,True,0
51,T100051,C1035,7645.98,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,False,True,False,0
52,T100052,C4153,16455.19,2026-03-04 06:12:48,Completed,3,2026,-1,Suspicious,0,False,False,False,False,0
53,T100053,C2956,677.13,2026-03-04 06:12:48,Completed,3,2026,1,Normal,0,False,True,False,False,0
