Transaction_ID,Customer_ID,Amount,Date,Payment_Method,Status
T100000,C1861,6779.99,06:12.8,Net Banking,Completed
T100001,C4773,7357.34,06:12.8,Debit Card,Completed
T100002,C4093,3461.92,06:12.8,Net Banking,Completed
T100003,C1467,1820.76,06:12.8,Net Banking,Completed
T100004,C5427,18199.03,06:12.8,Net Banking,Completed
T100005,C4445,5443.74,06:12.8,Wallet,Completed
T100006,C4172,2623.25,06:12.8,Net Banking,Completed
T100007,C3920,1645.74,06:12.8,UPI,Completed
T100008,C1131,6567.13,06:12.8,Credit Card,Completed
T100009,C2686,1386.57,06:12.8,Net Banking,Completed
T100010,C1770,941.96,06:12.8,Credit Card,Completed
T100011,C3392,3773.35,06:12.8,Credit Card,Suspicious
T100012,C3434,1712.36,06:12.8,UPI,Completed
T100013,C2185,4956.49,06:12.8,Credit Card,Completed
T100014,C5556,627.47,06:12.8,Credit Card,Completed
T100015,C4386,5320.2,06:12.8,Credit Card,Completed
T100016,C5118,1665.47,06:12.8,Debit Card,Completed
T100017,C5844,1.21,06:12.8,Net Banking,Completed
T100018,C3905,678.73,06:12.8,Net Banking,Completed
T100019,C1475,13561.45,06:12.8,Credit Card,Completed
T100020,C2083,10100.38,06:12.8,UPI,Completed
T100021,C3559,1330.31,06:12.8,Debit Card,Completed
T100022,C3048,7533.77,06:12.8,UPI,Completed
T100023,C3748,4689.76,06:12.8,UPI,Completed
T100024,C1976,17685.9,06:12.8,Credit Card,Completed
T100025,C2807,2338.88,06:12.8,Wallet,Completed
T100026,C1190,5720.05,06:12.8,Credit Card,Completed
T100027,C3735,328.22,06:12.8,Wallet,Completed
T100028,C4006,2522.95,06:12.8,Debit Card,Completed
T100029,C5659,16595.92,06:12.8,Wallet,Completed
T100030,C2900,3871.58,06:12.8,Credit Card,Completed
T100031,C2268,1697.54,06:12.8,Credit Card,Completed
T100032,C2529,640.71,06:12.8,UPI,Completed
T100033,C4203,6079.02,06:12.8,Credit Card,Completed
T100034,C4557,5176.16,06:12.8,Credit Card,Completed
T100035,C4891,2341.54,06:12.8,Net Banking,Completed
T100036,C1647,15073.69,06:12.8,Net Banking,Completed
T100037,C3889,112.27,06:12.8,UPI,Completed
T100038,C3436,1810.04,06:12.8,Wallet,Suspicious
T100039,C1601,12695.94,06:12.8,Wallet,Completed
T100040,C3364,1935.2,06:12.8,Net Banking,Completed
T100041,C3062,1453.45,06:12.8,Debit Card,Completed
T100042,C1242,3820.21,06:12.8,Net Banking,Completed
T100043,C3042,8680.73,06:12.8,Debit Card,Completed
T100044,C3825,544.32,06:12.8,Wallet,Completed
T100045,C3613,14325.34,06:12.8,Net Banking,Completed
T100046,C2364,7925.5,06:12.8,Credit Card,Completed
T100047,C2479,999.88,06:12.8,Debit Card,Completed
T100048,C3557,6224.11,06:12.8,Debit Card,Completed
T100049,C1776,2430.33,06:12.8,Debit Card,Completed
T100050,C5015,2573.29,06:12.8,Wallet,Completed
T100051,C1035,7645.98,06:12.8,UPI,Completed
T100052,C4153,16455.19,06:12.8,Credit Card,Completed
T100053,C2956,677.13,06:12.8,Net Banking,Completed
T100054,C2586,2729.07,06:12.8,Debit Card,Completed
T100055,C4944,3278.69,06:12.8,Wallet,Completed
T100056,C4074,2360.52,06:12.8,Debit Card,Completed
T100057,C2022,2256.41,06:12.8,Net Banking,Completed
T100058,C4462,268.42,06:12.8,Credit Card,Completed
T100059,C3614,5784.47,06:12.8,Debit Card,Completed
T100060,C4844,2865.41,06:12.8,Wallet,Completed
T100061,C2501,1083.28,06:12.8,Wallet,Completed
T100062,C5799,8465.01,06:12.8,UPI,Completed
T100063,C1162,8111.62,06:12.8,Wallet,Completed
T100064,C5298,3331.47,06:12.8,UPI,Completed
T100065,C2982,1772.32,06:12.8,Credit Card,Completed
T100066,C1996,5081.84,06:12.8,Net Banking,Completed
T100067,C5912,1699.46,06:12.8,UPI,Completed
T100068,C4343,1345.99,06:12.8,Debit Card,Completed
T100069,C5552,6556.21,06:12.8,Debit Card,Completed
T100070,C4799,205.8,06:12.8,Net Banking,Completed
T100071,C2276,497.82,06:12.8,Wallet,Completed
T100072,C2017,34.06,06:12.8,Debit Card,Completed
T100073,C1338,829.94,06:12.8,UPI,Completed
T100074,C1879,357.43,06:12.8,Net Banking,Completed
T100075,C2077,27366.17,06:12.8,Debit Card,Completed
T100076,C5888,1704.08,06:12.8,Wallet,Completed
T100077,C4994,808.29,06:12.8,Wallet,Completed
T100078,C5860,1378.74,06:12.8,Debit Card,Completed
T100079,C1380,13754.18,06:12.8,Net Banking,Completed
T100080,C1493,3671.52,06:12.8,Credit Card,Completed
T100081,C3063,2269.22,06:12.8,Debit Card,Completed
T100082,C4885,10333.28,06:12.8,Wallet,Completed
T100083,C1065,2512.55,06:12.8,Credit Card,Completed
T100084,C3569,2039.91,06:12.8,Net Banking,Completed
T100085,C3028,1161.44,06:12.8,Wallet,Completed
